id,default,idade,sexo,dependentes,escolaridade,estado_civil,salario_anual,tipo_cartao,meses_de_relacionamento,qtd_produtos,iteracoes_12m,meses_inativo_12m,limite_credito,valor_transacoes_12m,qtd_transacoes_12m
768805383,0,45,M,3,ensino medio,casado,$60K - $80K,blue,39,5,3,1,12691.51,1144.9,42
818770008,0,49,F,5,mestrado,solteiro,menos que $40K,blue,44,6,2,1,8256.96,1291.45,33
713982108,0,51,M,3,mestrado,casado,$80K - $120K,blue,36,4,0,1,3418.56,1887.72,20
709106358,0,40,M,3,sem educacao formal,casado,$60K - $80K,blue,21,5,0,1,4716.22,816.08,28
713061558,0,44,M,2,mestrado,casado,$40K - $60K,blue,36,3,2,1,4010.69,1088.07,24
710930508,0,37,M,3,sem educacao formal,solteiro,$60K - $80K,blue,36,5,0,2,22352.5,1350.14,24
719661558,0,48,M,2,mestrado,solteiro,$80K - $120K,blue,36,6,3,3,11656.41,1441.73,32
710599683,0,56,M,1,graduacao,solteiro,$80K - $120K,blue,36,3,0,6,11751.09,1539.95,17
712396908,0,57,F,2,mestrado,casado,menos que $40K,blue,48,5,2,2,2436.0,1570.23,29
709967358,0,48,M,4,doutorado,solteiro,$80K - $120K,blue,36,6,3,2,30367.57,1671.12,27
806160108,0,61,M,1,ensino medio,casado,$40K - $60K,blue,56,2,3,2,3193.51,1336.54,30
806165208,0,47,M,1,doutorado,divorciado,$60K - $80K,blue,42,5,0,2,20979.05,1178.72,27
708508758,1,62,F,0,mestrado,casado,menos que $40K,blue,49,2,3,3,1438.73,692.25,16
784725333,0,41,M,3,ensino medio,casado,$40K - $60K,blue,33,4,1,2,4470.45,931.04,18
771071958,0,41,F,3,mestrado,solteiro,menos que $40K,blue,28,6,2,1,7768.43,1052.0,22
806624208,0,47,M,4,ensino medio,casado,$40K - $60K,blue,42,6,0,0,4785.24,1045.67,38
712991808,0,53,M,2,sem educacao formal,casado,$60K - $80K,blue,48,2,1,5,2451.4,1596.34,26
709029408,0,41,M,4,mestrado,casado,$60K - $80K,blue,36,4,2,1,8923.23,1589.11,24
788658483,0,53,F,2,graduacao,casado,menos que $40K,blue,38,5,3,2,2650.38,1411.63,28
787937058,0,58,M,0,mestrado,casado,$80K - $120K,blue,49,6,2,2,12555.16,1291.68,24
715318008,0,55,F,1,graduacao,solteiro,menos que $40K,blue,36,4,1,2,3520.61,1407.71,43
713962233,0,55,F,3,mestrado,casado,menos que $40K,blue,36,6,3,2,3035.78,1877.05,37
785432733,0,42,F,4,ensino medio,casado,menos que $40K,gold,36,2,3,3,15433.35,966.8,22
827111283,0,45,M,3,mestrado,solteiro,$80K - $120K,blue,41,2,2,2,32426.29,1109.51,28
773146383,0,50,F,1,graduacao,solteiro,$40K - $60K,silver,43,3,3,2,17304.68,1756.0,33
778493808,0,49,M,3,ensino medio,casado,$60K - $80K,blue,37,5,1,2,3906.4,1756.49,32
712661433,0,49,M,4,sem educacao formal,solteiro,$80K - $120K,blue,30,3,3,2,34516.07,1444.77,28
789172683,0,56,M,2,doutorado,casado,$60K - $80K,blue,45,6,0,2,2283.59,1741.52,27
738406533,0,59,M,1,doutorado,casado,$40K - $60K,blue,52,3,2,2,2548.58,1719.18,27
799723908,0,46,M,3,ensino medio,casado,$80K - $120K,blue,40,4,3,3,19458.61,1217.71,27
771490833,0,52,M,1,graduacao,solteiro,$80K - $120K,blue,40,5,1,1,4745.36,1140.09,40
779471883,1,54,F,1,mestrado,casado,menos que $40K,blue,40,2,1,3,1438.08,705.59,19
711525033,0,66,F,0,ensino medio,casado,menos que $40K,blue,54,3,2,4,3171.17,1946.81,38
714374133,1,56,M,2,mestrado,casado,$120K +,blue,36,1,3,3,15769.34,602.6,15
716632758,0,49,F,3,mestrado,solteiro,menos que $40K,blue,36,2,0,2,2802.32,1295.77,40
768563658,0,56,M,2,sem educacao formal,casado,$40K - $60K,blue,50,4,3,2,4458.72,1424.23,29
714091983,0,42,M,2,ensino medio,solteiro,$60K - $80K,blue,34,4,3,4,3336.16,1168.25,27
712030833,1,48,M,2,mestrado,casado,$60K - $80K,silver,35,2,4,4,34516.6,691.1,15
711481533,0,39,M,1,ensino medio,divorciado,$60K - $80K,blue,33,5,3,3,5926.84,1316.35,28
710082708,0,44,M,4,doutorado,solteiro,$120K +,blue,32,2,2,4,23957.43,1276.73,26
708155733,0,53,M,2,ensino medio,solteiro,$120K +,blue,44,4,2,2,14734.78,1289.07,23
788979258,0,51,M,4,sem educacao formal,solteiro,$80K - $120K,silver,38,4,4,1,34516.43,1293.87,32
807986133,0,57,M,2,graduacao,casado,$60K - $80K,blue,52,5,3,3,6585.0,1353.02,35
788730933,0,44,F,2,sem educacao formal,solteiro,menos que $40K,blue,20,6,3,3,2084.4,1132.88,28
711314058,0,49,M,2,mestrado,casado,$60K - $80K,blue,32,2,2,2,1687.32,1670.43,17
717975333,0,50,M,2,doutorado,casado,$80K - $120K,blue,38,6,2,2,25300.81,837.74,15
715971108,0,51,M,4,mestrado,solteiro,$120K +,blue,42,3,3,2,34516.09,1550.71,41
720096558,0,55,F,2,mestrado,casado,menos que $40K,blue,42,5,3,3,2216.16,1540.51,36
820582308,0,42,M,5,sem educacao formal,casado,$80K - $120K,blue,37,6,2,2,22913.54,1394.75,35
789973308,0,44,M,1,graduacao,solteiro,$60K - $80K,blue,35,3,3,3,24312.55,1341.81,24
712876233,0,53,M,2,mestrado,solteiro,$80K - $120K,blue,36,5,2,3,5272.7,1289.65,33
804595158,0,44,F,4,mestrado,solteiro,menos que $40K,blue,36,6,2,4,7000.35,1112.55,23
714826758,0,37,F,3,sem educacao formal,solteiro,menos que $40K,blue,29,4,2,4,7038.51,2339.31,57
779058108,0,49,M,3,mestrado,divorciado,$60K - $80K,blue,30,6,2,1,2536.0,1468.07,23
710790258,0,47,M,2,mestrado,casado,$80K - $120K,blue,38,6,2,3,28904.11,1334.19,35
715623483,0,47,M,3,mestrado,casado,$60K - $80K,blue,37,4,0,4,8567.99,1457.17,41
794543958,0,53,M,1,mestrado,divorciado,$80K - $120K,blue,35,5,2,4,34516.4,1590.14,27
716396358,0,52,M,2,mestrado,casado,$60K - $80K,blue,47,5,0,3,3085.37,1531.13,35
715398033,0,53,M,2,ensino medio,solteiro,$120K +,blue,35,4,1,2,19040.89,1212.09,31
711743883,0,43,F,3,sem educacao formal,solteiro,menos que $40K,blue,35,5,3,2,4026.73,1237.0,32
719720058,0,44,M,3,ensino medio,solteiro,$60K - $80K,blue,31,4,1,3,12756.68,1413.28,14
717539808,0,51,F,2,ensino medio,solteiro,menos que $40K,blue,36,3,2,2,9930.94,1276.14,21
714070758,0,49,M,4,ensino medio,solteiro,$80K - $120K,blue,38,4,0,3,31302.28,1564.29,35
714107958,0,45,M,1,mestrado,solteiro,$40K - $60K,blue,36,4,3,4,6576.08,1465.89,34
789140283,0,53,M,0,mestrado,solteiro,$80K - $120K,blue,42,5,1,4,2664.65,1286.1,29
719712633,0,64,M,1,mestrado,casado,menos que $40K,blue,52,6,3,4,1709.75,1673.96,32
772629333,0,45,M,3,mestrado,casado,$40K - $60K,blue,35,5,2,4,3454.88,1313.57,30
720336708,0,53,M,3,doutorado,casado,$40K - $60K,blue,35,5,2,3,3789.07,1609.8,42
802013583,0,56,M,3,graduacao,casado,$120K +,blue,50,3,0,2,9689.42,1158.65,19
779155158,0,53,M,3,mestrado,casado,$120K +,blue,34,6,2,2,2940.23,1259.6,33
721091583,0,44,F,2,mestrado,solteiro,menos que $40K,blue,32,3,3,3,3031.74,1298.42,15
716657058,0,43,F,4,doutorado,casado,menos que $40K,blue,33,2,3,3,8358.36,1566.92,37
779509983,0,53,M,2,doutorado,solteiro,$120K +,blue,36,6,2,1,34516.7,1022.13,21
717929133,0,44,M,1,sem educacao formal,casado,$60K - $80K,blue,36,5,3,2,14450.88,1235.89,30
710916408,0,57,M,4,mestrado,casado,$60K - $80K,blue,39,4,0,3,8466.12,1342.04,32
799825758,0,42,M,4,ensino medio,divorciado,$60K - $80K,blue,36,5,2,1,3263.41,1251.05,35
718619883,0,54,F,0,sem educacao formal,casado,menos que $40K,blue,36,2,2,2,1494.38,1305.99,24
711844758,0,48,M,3,mestrado,solteiro,$80K - $120K,blue,35,6,0,1,13551.14,1388.92,37
714798783,0,49,M,1,mestrado,solteiro,$80K - $120K,blue,36,6,2,2,18886.97,1235.27,18
771894558,0,50,M,3,ensino medio,solteiro,$80K - $120K,blue,39,4,4,1,9964.79,1626.61,25
721074183,0,49,M,1,doutorado,casado,$60K - $80K,blue,36,4,3,6,24159.65,1111.64,24
715259583,0,53,F,2,ensino medio,casado,menos que $40K,blue,44,3,3,2,5362.37,1553.57,38
718414008,0,50,M,2,mestrado,solteiro,$120K +,blue,36,3,2,2,34516.18,1064.06,13
719666283,0,55,F,1,doutorado,casado,menos que $40K,blue,36,4,0,1,3174.61,1243.37,29
714877233,0,53,M,1,ensino medio,casado,$80K - $120K,blue,47,3,2,2,12262.61,1659.27,38
785387883,0,47,F,3,ensino medio,solteiro,$40K - $60K,blue,41,4,3,3,3788.86,1594.63,47
771075258,0,55,M,2,graduacao,solteiro,$120K +,silver,42,2,2,3,34516.86,1268.11,42
711318033,0,47,M,3,mestrado,solteiro,$60K - $80K,blue,36,4,2,2,2926.27,1304.88,24
783554958,0,58,M,4,mestrado,solteiro,$120K +,blue,52,6,0,1,32090.2,1368.9,30
720201033,1,53,M,2,mestrado,casado,$80K - $120K,blue,41,3,2,3,11669.07,720.82,23
718039683,0,52,M,2,ensino medio,solteiro,$40K - $60K,blue,45,3,2,1,13532.53,1521.78,29
714752208,0,42,F,1,mestrado,casado,menos que $40K,blue,36,5,2,1,2393.25,978.8,16
714490308,0,57,M,4,mestrado,casado,$80K - $120K,blue,46,3,3,2,19270.57,1566.0,28
713356833,0,52,M,1,mestrado,casado,$80K - $120K,blue,43,3,4,1,3710.96,1578.98,34
711402333,0,47,M,2,doutorado,solteiro,menos que $40K,blue,37,2,3,1,3235.89,1493.12,32
708296883,0,44,F,3,mestrado,solteiro,$40K - $60K,blue,38,3,0,1,11749.97,1178.37,27
719154483,0,53,M,2,ensino medio,divorciado,$60K - $80K,blue,36,5,2,3,7753.7,991.23,26
717721458,0,45,M,4,graduacao,divorciado,$60K - $80K,blue,40,5,0,1,10408.7,2560.79,42
715674483,0,39,F,2,doutorado,solteiro,menos que $40K,blue,27,4,2,2,6205.29,1204.63,19
789322833,1,48,F,5,ensino medio,casado,menos que $40K,blue,38,1,3,3,8025.36,673.64,18
709919283,0,54,M,4,mestrado,casado,$80K - $120K,blue,34,2,2,3,14926.65,1576.74,25
718744008,0,59,F,1,mestrado,solteiro,menos que $40K,blue,36,3,3,2,6335.1,1217.14,20
767712558,1,59,M,1,graduacao,solteiro,$60K - $80K,blue,53,2,3,3,14979.44,530.36,10
712950783,1,48,F,4,sem educacao formal,casado,menos que $40K,blue,38,3,3,2,2732.31,739.82,16
716104983,0,41,F,2,mestrado,solteiro,menos que $40K,blue,32,6,2,3,2250.44,1617.31,31
818839983,0,55,M,2,mestrado,casado,$120K +,blue,50,3,0,2,10916.64,1592.13,34
712350858,0,41,M,2,ensino medio,casado,$80K - $120K,blue,24,4,3,1,9366.58,1303.63,39
