id,default,idade,sexo,dependentes,escolaridade,estado_civil,salario_anual,tipo_cartao,limite_credito,predict
768805383,0,45,M,3,ensino medio,casado,$60K - $80K,blue,12691.51,0
708868233,1,68,M,0,ensino medio,casado,menos que $40K,blue,1438.72,1
818770008,0,49,F,5,mestrado,solteiro,menos que $40K,blue,8256.96,0
713982108,0,51,M,3,mestrado,casado,$80K - $120K,blue,3418.56,0
709106358,0,40,M,3,sem educacao formal,casado,$60K - $80K,blue,4716.22,-
713061558,0,44,M,2,mestrado,casado,$40K - $60K,blue,4010.69,-
710930508,0,37,M,3,sem educacao formal,solteiro,$60K - $80K,blue,22352.5,-
719661558,0,48,M,2,mestrado,solteiro,$80K - $120K,blue,11656.41,-
710599683,0,56,M,1,graduacao,solteiro,$80K - $120K,blue,11751.09,-
712396908,0,57,F,2,mestrado,casado,menos que $40K,blue,2436.0,-
709967358,0,48,M,4,doutorado,solteiro,$80K - $120K,blue,30367.57,-
806160108,0,61,M,1,ensino medio,casado,$40K - $60K,blue,3193.51,-
806165208,0,47,M,1,doutorado,divorciado,$60K - $80K,blue,20979.05,-
708508758,1,62,F,0,mestrado,casado,menos que $40K,blue,1438.73,-
784725333,0,41,M,3,ensino medio,casado,$40K - $60K,blue,4470.45,-
771071958,0,41,F,3,mestrado,solteiro,menos que $40K,blue,7768.43,-
806624208,0,47,M,4,ensino medio,casado,$40K - $60K,blue,4785.24,-
712991808,0,53,M,2,sem educacao formal,casado,$60K - $80K,blue,2451.4,-
709029408,0,41,M,4,mestrado,casado,$60K - $80K,blue,8923.23,-
788658483,0,53,F,2,graduacao,casado,menos que $40K,blue,2650.38,-
787937058,0,58,M,0,mestrado,casado,$80K - $120K,blue,12555.16,-
715318008,0,55,F,1,graduacao,solteiro,menos que $40K,blue,3520.61,-
713962233,0,55,F,3,mestrado,casado,menos que $40K,blue,3035.78,-
785432733,0,42,F,4,ensino medio,casado,menos que $40K,gold,15433.35,-
827111283,0,45,M,3,mestrado,solteiro,$80K - $120K,blue,32426.29,-
773146383,0,50,F,1,graduacao,solteiro,$40K - $60K,silver,17304.68,-
778493808,0,49,M,3,ensino medio,casado,$60K - $80K,blue,3906.4,-
712661433,0,49,M,4,sem educacao formal,solteiro,$80K - $120K,blue,34516.07,-
789172683,0,56,M,2,doutorado,casado,$60K - $80K,blue,2283.59,-
738406533,0,59,M,1,doutorado,casado,$40K - $60K,blue,2548.58,-
799723908,0,46,M,3,ensino medio,casado,$80K - $120K,blue,19458.61,-
771490833,0,52,M,1,graduacao,solteiro,$80K - $120K,blue,4745.36,-
779471883,1,54,F,1,mestrado,casado,menos que $40K,blue,1438.08,-
711525033,0,66,F,0,ensino medio,casado,menos que $40K,blue,3171.17,-
714374133,1,56,M,2,mestrado,casado,$120K +,blue,15769.34,-
716632758,0,49,F,3,mestrado,solteiro,menos que $40K,blue,2802.32,-
768563658,0,56,M,2,sem educacao formal,casado,$40K - $60K,blue,4458.72,-
714091983,0,42,M,2,ensino medio,solteiro,$60K - $80K,blue,3336.16,-
712030833,1,48,M,2,mestrado,casado,$60K - $80K,silver,34516.6,-
711481533,0,39,M,1,ensino medio,divorciado,$60K - $80K,blue,5926.84,-
710082708,0,44,M,4,doutorado,solteiro,$120K +,blue,23957.43,-
708155733,0,53,M,2,ensino medio,solteiro,$120K +,blue,14734.78,-
788979258,0,51,M,4,sem educacao formal,solteiro,$80K - $120K,silver,34516.43,-
807986133,0,57,M,2,graduacao,casado,$60K - $80K,blue,6585.0,-
788730933,0,44,F,2,sem educacao formal,solteiro,menos que $40K,blue,2084.4,-
711314058,0,49,M,2,mestrado,casado,$60K - $80K,blue,1687.32,-
717975333,0,50,M,2,doutorado,casado,$80K - $120K,blue,25300.81,-
715971108,0,51,M,4,mestrado,solteiro,$120K +,blue,34516.09,-
720096558,0,55,F,2,mestrado,casado,menos que $40K,blue,2216.16,-
820582308,0,42,M,5,sem educacao formal,casado,$80K - $120K,blue,22913.54,-
789973308,0,44,M,1,graduacao,solteiro,$60K - $80K,blue,24312.55,-
712876233,0,53,M,2,mestrado,solteiro,$80K - $120K,blue,5272.7,-
804595158,0,44,F,4,mestrado,solteiro,menos que $40K,blue,7000.35,-
714826758,0,37,F,3,sem educacao formal,solteiro,menos que $40K,blue,7038.51,-
779058108,0,49,M,3,mestrado,divorciado,$60K - $80K,blue,2536.0,-
710790258,0,47,M,2,mestrado,casado,$80K - $120K,blue,28904.11,-
715623483,0,47,M,3,mestrado,casado,$60K - $80K,blue,8567.99,-
794543958,0,53,M,1,mestrado,divorciado,$80K - $120K,blue,34516.4,-
716396358,0,52,M,2,mestrado,casado,$60K - $80K,blue,3085.37,-
715398033,0,53,M,2,ensino medio,solteiro,$120K +,blue,19040.89,-
711743883,0,43,F,3,sem educacao formal,solteiro,menos que $40K,blue,4026.73,-
719720058,0,44,M,3,ensino medio,solteiro,$60K - $80K,blue,12756.68,-
717539808,0,51,F,2,ensino medio,solteiro,menos que $40K,blue,9930.94,-
714070758,0,49,M,4,ensino medio,solteiro,$80K - $120K,blue,31302.28,-
714107958,0,45,M,1,mestrado,solteiro,$40K - $60K,blue,6576.08,-
789140283,0,53,M,0,mestrado,solteiro,$80K - $120K,blue,2664.65,-
719712633,0,64,M,1,mestrado,casado,menos que $40K,blue,1709.75,-
772629333,0,45,M,3,mestrado,casado,$40K - $60K,blue,3454.88,-
720336708,0,53,M,3,doutorado,casado,$40K - $60K,blue,3789.07,-
802013583,0,56,M,3,graduacao,casado,$120K +,blue,9689.42,-
779155158,0,53,M,3,mestrado,casado,$120K +,blue,2940.23,-
721091583,0,44,F,2,mestrado,solteiro,menos que $40K,blue,3031.74,-
716657058,0,43,F,4,doutorado,casado,menos que $40K,blue,8358.36,-
779509983,0,53,M,2,doutorado,solteiro,$120K +,blue,34516.7,-
